SAMPLING EVENT IDENTIFIER,Diversidad_Grupo,Shannon_Index,PC1,Factor1,PC2,Factor2,PC3,Factor3
S196807453,Media_Q2_Q3,2.186435318556778,2.2221445489290015,-0.3362833082829002,-1.1502919653475974,-1.3724112103271953,-0.49648963833029497,-0.1576357695566131
S194258653,Media_Q2_Q3,1.5464943831372155,0.8469072453988379,0.8669945968052587,0.6606612654575165,-0.18614393710677835,-0.15432583640177716,-0.08382077935964949
S196807450,Media_Q2_Q3,2.186435318556778,2.2221445489290015,-0.3362833082829002,-1.1502919653475974,-1.3724112103271953,-0.49648963833029497,-0.1576357695566131
S196807449,Media_Q2_Q3,2.186435318556778,2.2221445489290015,-0.3362833082829002,-1.1502919653475974,-1.3724112103271953,-0.49648963833029497,-0.1576357695566131
S196794916,Media_Q2_Q3,2.388427477478963,0.5505490099853813,-0.28003093026781894,0.7479431504106538,0.01066756238578459,0.5164687788800146,1.1023763746725705
S196352031,Media_Q2_Q3,1.6417347121875212,-4.683872572393729,0.8526722024465061,2.323244218465727,2.047063723487989,-0.959418294482357,-0.7845968596900699
S199068296,Media_Q2_Q3,1.9600951351245584,1.4125321560889643,-0.42096548132332956,-1.6085503574420694,-1.118900513188707,-0.7268621105389718,-0.6148068598552399
S194130861,Media_Q2_Q3,1.9600951351245584,1.4125321560889643,-0.42096548132332956,-1.6085503574420694,-1.118900513188707,-0.7268621105389718,-0.6148068598552399
S196582770,Media_Q2_Q3,2.3160146318704697,-3.1814741667834627,0.6943215930108495,1.511287209269835,1.71502169263321,-0.576150081406383,-0.6311099941097639
S193963170,Media_Q2_Q3,1.9072709391394818,-4.6224774805163555,1.000582635713467,2.0316412870722598,2.1290962192659375,-1.0084870313716683,-1.0160050236787226
S194844833,Alta_Q3,2.6574578383170198,1.884865260053704,-0.7976792883457762,-1.7469595528714144,-1.2121563261524804,-0.037631436796994364,-0.13853665889489894
S196461532,Media_Q2_Q3,2.261278871111255,1.4735149273866652,-0.9002126814797493,-1.9848115494979075,-1.1053262253864533,0.03715345708056239,-0.17264291753660435
S196480690,Media_Q2_Q3,2.19609532455469,-2.1333992219755684,-0.9976765448921021,-0.23195147790828013,1.3646506074666773,1.1564848169823583,0.3970666305550753
S194662284,Media_Q2_Q3,1.9586969785143908,1.3374186959731498,-0.9318587083613113,-0.0802798895493945,-0.09123431475083543,1.8489975832456211,1.6026607076254655
S204540233,Media_Q2_Q3,2.261278871111255,1.4735149273866652,-0.9002126814797493,-1.9848115494979075,-1.1053262253864533,0.03715345708056239,-0.17264291753660435
S194636389,Media_Q2_Q3,2.261278871111255,1.4735149273866652,-0.9002126814797493,-1.9848115494979075,-1.1053262253864533,0.03715345708056239,-0.17264291753660435
S198065346,Media_Q2_Q3,1.981269378824307,-3.1123591922479923,-0.8479619676749666,-0.606145335833627,1.207289797556302,0.5376401366618234,-0.3485335586034145
S198129785,Alta_Q3,2.7237698976432676,-2.1344197649576877,0.8692342507485269,0.8433930422693239,0.8094817624781858,-1.213200852079463,-1.1746929581741805
S196167789,Media_Q2_Q3,1.981269378824307,-3.1123591922479923,-0.8479619676749666,-0.606145335833627,1.207289797556302,0.5376401366618234,-0.3485335586034145
S195085437,Media_Q2_Q3,1.8852928045819037,-3.246968528405216,0.7681500797213033,1.600449238281488,1.4969148656243534,0.07697743160513978,-0.31620617017087466
S196093965,Media_Q2_Q3,2.204243546339066,-1.9265815983327756,0.2489325576482677,0.10501252206577041,0.7887335113884256,-0.38538497452336035,-0.7018624305529895
S195829816,Baja_Q1,1.4252969557154298,-4.0780730807024375,0.7980515534799836,2.486303297049239,2.4187816942317553,0.09390369451879818,0.05010837207128963
S194533447,Media_Q2_Q3,2.341118415509906,-1.8290691739558924,-0.6741089051862683,-1.4435004215993343,0.2604761319616719,-0.1340008908018931,-1.0271116795668094
S211075094,Baja_Q1,1.4252969557154298,-4.0780730807024375,0.7980515534799836,2.486303297049239,2.4187816942317553,0.09390369451879818,0.05010837207128963
S194198903,Media_Q2_Q3,2.274240930731769,-2.6566311722607288,-0.1478266241459576,-0.11618081541112453,0.9475113761562746,-0.440006007234838,-0.8928036023583602
S197101346,Media_Q2_Q3,2.274240930731769,-2.6566311722607288,-0.1478266241459576,-0.11618081541112453,0.9475113761562746,-0.440006007234838,-0.8928036023583602
S196950040,Baja_Q1,1.294970291724779,-1.1018806101854384,-0.5305476760441531,-1.094705751458047,-0.0020709694229645295,-0.7076073442236152,-0.9083437578890413
S194198858,Media_Q2_Q3,2.274240930731769,-2.6566311722607288,-0.1478266241459576,-0.11618081541112453,0.9475113761562746,-0.440006007234838,-0.8928036023583602
S196212853,Media_Q2_Q3,1.981269378824307,-3.1123591922479923,-0.8479619676749666,-0.606145335833627,1.207289797556302,0.5376401366618234,-0.3485335586034145
S196527276,Media_Q2_Q3,2.3885311483508596,0.570320622009023,-0.17491327555749842,0.9257719330303334,0.41873850833749265,1.135478310835026,1.264400256849242
S194066684,Baja_Q1,1.0971128947333808,-2.4564095877517236,-0.5846332629245019,-0.959697540838086,0.8034624990191603,-0.17408569683216896,-0.9107652049708274
S197074158,Media_Q2_Q3,2.3636627309949687,-2.3448512325240705,-0.48340449499233523,0.26387381611018945,0.9179536560343333,0.01990072929814814,-0.11082852963271088
S196807669,Media_Q2_Q3,2.2916352315865813,1.5432890114985915,0.21253811580631268,1.125996987059911,-0.029859459560759402,1.4100591703039684,1.3765352914338866
S196807563,Media_Q2_Q3,2.342001068552017,2.104854181776103,-0.5245951343756915,-0.5947360755402382,-0.8839947652527754,0.709335667879835,0.7197797971635792
